#    BLOCK:   VELOCITY:    ACTUAL_POFV:
          24     1.06667    0.107796
          24     1.33333    0.136981
          24         1.6    0.162185
          24     1.86667    0.122102
          24     2.13333   0.0873981
          24         2.4   0.0780926
          24     2.66667   0.0621296
          24     2.93333   0.0444444
          24         3.2   0.0382037
          24     3.46667   0.0128519
          24     3.73333 0.000824074
          24           4 0.000361111
          24     4.26667           0
          24     4.53333           0
          24         4.8           0
          24     5.06667           0
          24     5.33333           0
          24         5.6           0
          24     5.86667           0
          24     6.13333           0
          24         6.4           0
          24     6.66667           0
          24     6.93333           0
          24         7.2           0
          24     7.46667           0
          24     7.73333           0

          25           0  0.00278704
          25    0.266667   0.0250278
          25    0.533333      0.0625
          25         0.8    0.103713
          25     1.06667    0.140981
          25     1.33333    0.109204
          25         1.6    0.125019
          25     1.86667   0.0890185
          25     2.13333   0.0969444
          25         2.4    0.087037
          25     2.66667   0.0418056
          25     2.93333    0.051963
          25         3.2    0.043463
          25     3.46667  0.00987963
          25     3.73333  0.00399074
          25           4       0.001
          25     4.26667  0.00328704
          25     4.53333  0.00212963
          25         4.8     0.00025
          25     5.06667           0
          25     5.33333           0
          25         5.6           0
          25     5.86667           0
          25     6.13333           0
          25         6.4           0
          25     6.66667           0
          25     6.93333           0
          25         7.2           0
          25     7.46667           0
          25     7.73333           0

          26           0  0.00307407
          26    0.266667   0.0206759
          26    0.533333   0.0421204
          26         0.8   0.0877778
          26     1.06667    0.153111
          26     1.33333    0.146694
          26         1.6   0.0967685
          26     1.86667    0.114204
          26     2.13333   0.0886574
          26         2.4   0.0847407
          26     2.66667   0.0862037
          26     2.93333   0.0323519
          26         3.2   0.0126296
          26     3.46667  0.00717593
          26     3.73333  0.00897222
          26           4  0.00724074
          26     4.26667  0.00187037
          26     4.53333  0.00366667
          26         4.8  0.00206481
          26     5.06667           0
          26     5.33333           0
          26         5.6           0
          26     5.86667           0
          26     6.13333           0
          26         6.4           0
          26     6.66667           0
          26     6.93333           0
          26         7.2           0
          26     7.46667           0
          26     7.73333           0

          27           0  0.00187963
          27    0.266667   0.0164815
          27    0.533333    0.039963
          27         0.8    0.087963
          27     1.06667    0.128389
          27     1.33333    0.175806
          27         1.6    0.127333
          27     1.86667    0.105509
          27     2.13333   0.0855185
          27         2.4   0.0564352
          27     2.66667    0.070787
          27     2.93333    0.052787
          27         3.2   0.0138704
          27     3.46667   0.0108241
          27     3.73333   0.0228519
          27           4  0.00205556
          27     4.26667   0.0015463
          27     4.53333           0
          27         4.8           0
          27     5.06667           0
          27     5.33333           0
          27         5.6           0
          27     5.86667           0
          27     6.13333           0
          27         6.4           0
          27     6.66667           0
          27     6.93333           0
          27         7.2           0
          27     7.46667           0
          27     7.73333           0

          28           0 0.000601852
          28    0.266667   0.0155185
          28    0.533333   0.0372037
          28         0.8   0.0847407
          28     1.06667   0.0994815
          28     1.33333     0.13112
          28         1.6     0.17287
          28     1.86667    0.136741
          28     2.13333    0.114361
          28         2.4   0.0794352
          28     2.66667    0.065213
          28     2.93333   0.0303704
          28         3.2  0.00997222
          28     3.46667   0.0108241
          28     3.73333   0.0104259
          28           4  0.00112037
          28     4.26667           0
          28     4.53333           0
          28         4.8           0
          28     5.06667           0
          28     5.33333           0
          28         5.6           0
          28     5.86667           0
          28     6.13333           0
          28         6.4           0
          28     6.66667           0
          28     6.93333           0
          28         7.2           0
          28     7.46667           0
          28     7.73333           0

          29           0  0.00305556
          29    0.266667   0.0189074
          29    0.533333   0.0513241
          29         0.8       0.108
          29     1.06667   0.0985093
          29     1.33333    0.154991
          29         1.6    0.151611
          29     1.86667    0.112037
          29     2.13333   0.0984722
          29         2.4   0.0760093
          29     2.66667   0.0430185
          29     2.93333   0.0309537
          29         3.2      0.0135
          29     3.46667   0.0101019
          29     3.73333   0.0121481
          29           4   0.0135278
          29     4.26667  0.00234259
          29     4.53333  0.00149074
          29         4.8           0
          29     5.06667           0
          29     5.33333           0
          29         5.6           0
          29     5.86667           0
          29     6.13333           0
          29         6.4           0
          29     6.66667           0
          29     6.93333           0
          29         7.2           0
          29     7.46667           0
          29     7.73333           0

          30           0  0.00037963
          30    0.266667   0.0274444
          30    0.533333    0.072537
          30         0.8   0.0679907
          30     1.06667   0.0840648
          30     1.33333     0.16238
          30         1.6     0.14463
          30     1.86667    0.133778
          30     2.13333    0.110694
          30         2.4   0.0661111
          30     2.66667   0.0516019
          30     2.93333   0.0273056
          30         3.2   0.0103333
          30     3.46667    0.017463
          30     3.73333   0.0059537
          30           4   0.0125093
          30     4.26667  0.00353704
          30     4.53333  0.00103704
          30         4.8     0.00025
          30     5.06667           0
          30     5.33333           0
          30         5.6           0
          30     5.86667           0
          30     6.13333           0
          30         6.4           0
          30     6.66667           0
          30     6.93333           0
          30         7.2           0
          30     7.46667           0
          30     7.73333           0

          31           0  0.00331481
          31    0.266667   0.0235926
          31    0.533333   0.0590556
          31         0.8   0.0717315
          31     1.06667    0.120713
          31     1.33333    0.140657
          31         1.6    0.145287
          31     1.86667    0.140389
          31     2.13333      0.0965
          31         2.4   0.0626204
          31     2.66667   0.0406389
          31     2.93333   0.0266111
          31         3.2    0.028537
          31     3.46667       0.017
          31     3.73333  0.00862963
          31           4   0.0133333
          31     4.26667  0.00138889
          31     4.53333           0
          31         4.8           0
          31     5.06667           0
          31     5.33333           0
          31         5.6           0
          31     5.86667           0
          31     6.13333           0
          31         6.4           0
          31     6.66667           0
          31     6.93333           0
          31         7.2           0
          31     7.46667           0
          31     7.73333           0

          32           0           0
          32    0.266667   0.0101019
          32    0.533333    0.053463
          32         0.8   0.0813426
          32     1.06667    0.125889
          32     1.33333     0.14625
          32         1.6    0.163546
          32     1.86667    0.109333
          32     2.13333    0.117481
          32         2.4   0.0543981
          32     2.66667   0.0511759
          32     2.93333   0.0269444
          32         3.2    0.023287
          32     3.46667   0.0065463
          32     3.73333   0.0137407
          32           4  0.00796296
          32     4.26667  0.00737037
          32     4.53333  0.00116667
          32         4.8           0
          32     5.06667           0
          32     5.33333           0
          32         5.6           0
          32     5.86667           0
          32     6.13333           0
          32         6.4           0
          32     6.66667           0
          32     6.93333           0
          32         7.2           0
          32     7.46667           0
          32     7.73333           0

          33           0  0.00723148
          33    0.266667   0.0163519
          33    0.533333    0.049787
          33         0.8   0.0660093
          33     1.06667    0.101963
          33     1.33333     0.15513
          33         1.6    0.141722
          33     1.86667    0.136185
          33     2.13333    0.121713
          33         2.4   0.0753241
          33     2.66667   0.0371111
          33     2.93333     0.03775
          33         3.2       0.029
          33     3.46667   0.0147315
          33     3.73333  0.00261111
          33           4  0.00232407
          33     4.26667  0.00505556
          33     4.53333           0
          33         4.8           0
          33     5.06667           0
          33     5.33333           0
          33         5.6           0
          33     5.86667           0
          33     6.13333           0
          33         6.4           0
          33     6.66667           0
          33     6.93333           0
          33         7.2           0
          33     7.46667           0
          33     7.73333           0

          34           0  0.00459259
          34    0.266667   0.0156852
          34    0.533333       0.061
          34         0.8   0.0955278
          34     1.06667    0.116491
          34     1.33333    0.121509
          34         1.6    0.102787
          34     1.86667    0.104241
          34     2.13333    0.131019
          34         2.4   0.0903889
          34     2.66667   0.0678426
          34     2.93333   0.0398796
          34         3.2   0.0305648
          34     3.46667   0.0124815
          34     3.73333  0.00565741
          34           4 0.000333333
          34     4.26667           0
          34     4.53333           0
          34         4.8           0
          34     5.06667           0
          34     5.33333           0
          34         5.6           0
          34     5.86667           0
          34     6.13333           0
          34         6.4           0
          34     6.66667           0
          34     6.93333           0
          34         7.2           0
          34     7.46667           0
          34     7.73333           0

