# BLOCK:        DISTANCE:        ACTUAL_GOFR:
           6     2.23152     1.10581
           6     2.25717     1.02669
           6     2.28282     0.99614
           6     2.30847    0.985483
           6     2.33412    0.968611
           6     2.35977    0.948081
           6     2.38542    0.927885
           6     2.41107     0.90084
           6     2.43672    0.926029
           6     2.46237    0.883721
           6     2.48802     0.86661
           6     2.51366    0.872635
           6     2.53931    0.863022

           7           0           0
           7   0.0256496           0
           7   0.0512993           0
           7   0.0769489           0
           7    0.102599           0
           7    0.128248           0
           7    0.153898           0
           7    0.179547           0
           7    0.205197           0
           7    0.230847           0
           7    0.256496           0
           7    0.282146           0
           7    0.307796           0
           7    0.333445           0
           7    0.359095           0
           7    0.384745           0
           7    0.410394           0
           7    0.436044           0
           7    0.461694           0
           7    0.487343           0
           7    0.512993           0
           7    0.538642           0
           7    0.564292           0
           7    0.589942           0
           7    0.615591           0
           7    0.641241           0
           7    0.666891           0
           7     0.69254           0
           7     0.71819           0
           7     0.74384           0
           7    0.769489           0
           7    0.795139           0
           7    0.820788           0
           7    0.846438           0
           7    0.872088  0.00210922
           7    0.897737    0.025767
           7    0.923387     0.17947
           7    0.949037    0.595696
           7    0.974686     1.18911
           7     1.00034     1.87193
           7     1.02599     2.25333
           7     1.05164     2.55569
           7     1.07728     2.61282
           7     1.10293     2.40824
           7     1.12858     2.16453
           7     1.15423     1.91737
           7     1.17988     1.78758
           7     1.20553     1.56202
           7     1.23118     1.38071
           7     1.25683     1.21826
           7     1.28248     1.10156
           7     1.30813      1.0375
           7     1.33378    0.968121
           7     1.35943    0.847186
           7     1.38508    0.823843
           7     1.41073    0.757391
           7     1.43638    0.740444
           7     1.46203    0.706479
           7     1.48768    0.708209
           7     1.51333    0.693207
           7     1.53898    0.677385
           7     1.56463    0.674685
           7     1.59028    0.701807
           7     1.61593    0.739461
           7     1.64158    0.711633
           7     1.66723    0.744023
           7     1.69288    0.762432
           7     1.71853    0.796717
           7     1.74418    0.802484
           7     1.76983    0.842393
           7     1.79547    0.899926
           7     1.82112    0.927381
           7     1.84677    0.964391
           7     1.87242     1.00243
           7     1.89807     1.00474
           7     1.92372     1.08106
           7     1.94937     1.08411
           7     1.97502     1.11035
           7     2.00067     1.16714
           7     2.02632      1.1822
           7     2.05197     1.22557
           7     2.07762     1.22255
           7     2.10327     1.20463
           7     2.12892     1.21117
           7     2.15457     1.19281
           7     2.18022     1.16893
           7     2.20587      1.1457
           7     2.23152     1.11349
           7     2.25717     1.07796
           7     2.28282     1.02863
           7     2.30847       1.022
           7     2.33412     1.00859
           7     2.35977    0.975121
           7     2.38542    0.960637
           7     2.41107    0.927885
           7     2.43672    0.936238
           7     2.46237    0.923089
           7     2.48802    0.913489
           7     2.51366    0.900076
           7     2.53931    0.885984

           8           0           0
           8   0.0256496           0
           8   0.0512993           0
           8   0.0769489           0
           8    0.102599           0
           8    0.128248           0
           8    0.153898           0
           8    0.179547           0
           8    0.205197           0
           8    0.230847           0
           8    0.256496           0
           8    0.282146           0
           8    0.307796           0
           8    0.333445           0
           8    0.359095           0
           8    0.384745           0
           8    0.410394           0
           8    0.436044           0
           8    0.461694           0
           8    0.487343           0
           8    0.512993           0
           8    0.538642           0
           8    0.564292           0
           8    0.589942           0
           8    0.615591           0
           8    0.641241           0
           8    0.666891           0
           8     0.69254           0
           8     0.71819           0
           8     0.74384           0
           8    0.769489           0
           8    0.795139           0
           8    0.820788           0
           8    0.846438           0
           8    0.872088  0.00132973
           8    0.897737   0.0228655
