#    BLOCK:   VELOCITY:    ACTUAL_POFV:
          38         6.4           0
          38     6.66667           0
          38     6.93333           0
          38         7.2           0
          38     7.46667           0
          38     7.73333           0

          39           0           0
          39    0.266667  0.00907407
          39    0.533333   0.0237037
          39         0.8   0.0636111
          39     1.06667    0.108981
          39     1.33333   0.0916667
          39         1.6    0.123333
          39     1.86667    0.115741
          39     2.13333     0.13463
          39         2.4   0.0939815
          39     2.66667   0.0742593
          39     2.93333   0.0627778
          39         3.2   0.0310185
          39     3.46667   0.0502778
          39     3.73333   0.0121296
          39           4  0.00481481
          39     4.26667           0
          39     4.53333           0
          39         4.8           0
          39     5.06667           0
          39     5.33333           0
          39         5.6           0
          39     5.86667           0
          39     6.13333           0
          39         6.4           0
          39     6.66667           0
          39     6.93333           0
          39         7.2           0
          39     7.46667           0
          39     7.73333           0

          40           0 0.000555556
          40    0.266667  0.00777778
          40    0.533333   0.0289815
          40         0.8    0.052963
          40     1.06667    0.107593
          40     1.33333   0.0865741
          40         1.6    0.108889
          40     1.86667    0.151204
          40     2.13333    0.136481
          40         2.4   0.0844444
          40     2.66667   0.0563889
          40     2.93333   0.0668519
          40         3.2   0.0434259
          40     3.46667   0.0488889
          40     3.73333   0.0166667
          40           4  0.00231481
          40     4.26667           0
          40     4.53333           0
          40         4.8           0
          40     5.06667           0
          40     5.33333           0
          40         5.6           0
          40     5.86667           0
          40     6.13333           0
          40         6.4           0
          40     6.66667           0
          40     6.93333           0
          40         7.2           0
          40     7.46667           0
          40     7.73333           0

          41           0           0
          41    0.266667   0.0153704
          41    0.533333        0.04
          41         0.8        0.06
          41     1.06667   0.0706481
          41     1.33333   0.0883333
