#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           485       6.23127        9.6758       1.98351
           486       6.23127        9.9995       2.16089
           487       6.23127       8.92692       2.06882
           488       6.23127       8.04986       1.81169
           489       6.23127       8.40391       1.65394
           490       6.23127       7.97993       1.57131
           491       6.23127       8.02953       1.71866
           492       6.23127        7.5254       1.53436
           493       6.23127       8.77618       2.31694
           494       6.23127       7.63722       1.65135
           495       6.23127       8.29228       1.75248
           496       6.23127       8.63653       1.96874
           497       6.23127       7.42049       1.20752
           498       6.23127       7.58306       1.68942
           499       6.23127       7.62342       1.59375
           500       6.23127       7.50451       1.49582
