#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           635       10.0953        10.868       0.92026
           636       10.0953        10.664      0.873914
           637       10.0953       10.2675      0.475693
           638       10.0953        10.255      0.397516
           639       10.0953       10.6499      0.817143
           640       10.0953       10.8606      0.949699
           641       10.0953       11.2105       1.01586
           642       10.0953       10.9048       1.08189
           643       10.0953       11.2522       1.19038
           644       10.0953       11.3536       1.09357
           645       10.0953       11.3144       1.06725
           646       10.0953       11.1305      0.969271
           647       10.0953       11.8164       1.57886
           648       10.0953       11.5884       1.62797
           649       10.0953       11.2729       1.31984
           650       10.0953       11.3408        1.2581
           651       10.0953       11.0616       1.07439
           652       10.0953       11.0897       1.19665
           653       10.0953       11.4155       1.29818
           654       10.0953       11.1398       1.20327
           655       10.0953       11.4481       1.33107
           656       10.0953        11.731       1.45815
           657       10.0953       11.8776       1.57574
           658       10.0953       11.3115       1.26205
           659       10.0953       11.0317       1.04142
           660       10.0953       10.5639      0.728706
           661       10.0953       10.5769      0.762351
           662       10.0953       10.6075      0.778819
           663       10.0953       10.6818      0.917547
           664       10.0953       11.2162       1.15335
           665       10.0953       11.1943        1.1548
           666       10.0953       11.5325       1.21005
           667       10.0953       11.4537       1.17622
           668       10.0953        11.683        1.5059
           669       10.0953       11.4872       1.45847
           670       10.0953       11.2797       1.33169
           671       10.0953       11.2332       1.38989
           672       10.0953       10.9421       1.12046
           673       10.0953       11.3514       1.27516
           674       10.0953       11.2443       1.26253
           675       10.0953       11.6464       1.39286
           676       10.0953       11.6696       1.24143
           677       10.0953       11.4292       1.07156
           678       10.0953       11.3395       1.00959
           679       10.0953       11.5481       1.09644
           680       10.0953       11.7758       1.22465
           681       10.0953       11.3798       1.25756
           682       10.0953       11.0695       1.13849
           683       10.0953       11.3936       1.11607
           684       10.0953       11.2691       1.04518
           685       10.0953       11.2735      0.990527
           686       10.0953       11.7689       1.24599
           687       10.0953       12.2591       1.33714
           688       10.0953       12.3654       1.81171
           689       10.0953       11.6482       1.35261
           690       10.0953       12.2089       1.42404
           691       10.0953       11.0755      0.996516
           692       10.0953       11.2345       1.19351
           693       10.0953       11.4975       1.25476
           694       10.0953       11.1181        1.1006
           695       10.0953       11.2292       1.09049
           696       10.0953       11.5004       1.33296
           697       10.0953       11.4019       1.29761
           698       10.0953       11.2878       1.20076
           699       10.0953       10.7313      0.857447
           700       10.0953       11.5068       1.31825
           701       10.0953       11.5714       1.30897
           702       10.0953       11.4419       1.23204
           703       10.0953       11.2635       1.11637
           704       10.0953       11.1949       1.04623
           705       10.0953       11.4713       1.29906
           706       10.0953        12.004       1.32243
           707       10.0953       11.2848       1.12112
           708       10.0953       11.5133       1.07401
           709       10.0953       11.8551       1.47075
           710       10.0953       11.2865       1.12348
           711       10.0953       10.7918       1.00037
           712       10.0953       10.5069      0.760977
           713       10.0953       10.8381       0.96276
           714       10.0953       10.5763      0.776947
           715       10.0953       10.8281      0.978703
           716       10.0953       10.5634      0.696925
           717       10.0953       10.7682      0.883132
           718       10.0953       10.6197      0.787224
           719       10.0953       10.7592      0.899537
           720       10.0953       10.1797      0.237605
           721       10.0953       10.2451      0.309231
           722       10.0953       10.4623      0.641333
           723       10.0953       10.4157      0.563846
           724       10.0953       10.3742      0.530321
           725       10.0953       10.6306      0.745915
           726       10.0953       10.4702      0.705547
           727       10.0953       10.4606      0.555863
           728       10.0953        10.617      0.774222
           729       10.0953        10.993       1.16598
           730       10.0953        10.879      0.967239
           731       10.0953        10.991       1.05942
           732       10.0953       11.1649          1.29
           733       10.0953       10.8969       1.07325
           734       10.0953       10.8902      0.969357
           735       10.0953       11.3822       1.27152
           736       10.0953       11.3446       1.27174
           737       10.0953       10.8284       1.00166
           738       10.0953       10.6094      0.733793
           739       10.0953       10.9594      0.998889
           740       10.0953        11.251       1.21912
           741       10.0953       11.2651       1.04695
           742       10.0953       11.4267       1.14035
           743       10.0953       11.8432       1.31262
           744       10.0953       11.7794       1.42558
           745       10.0953       12.0057       1.41124
           746       10.0953       12.4446       1.42993
           747       10.0953       11.8456       1.46303
           748       10.0953       11.1718       1.19411
           749       10.0953       11.2544       1.19822
